Pokemon,Item,Ability,Tera Type,Move 1,Move 2,Move 3,Move 4,Rank,Wins,Losses,Tournament
Incineroar ,Safety Goggles,Intimidate,Ghost, Fake Out, WillOWisp, Knock Off, Parting Shot,132,6,3,North America International
Volcarona ,Leftovers,Flame Body,Fairy, Flamethrower, Hurricane, Quiver Dance, Protect,133,6,3,North America International
Terapagos ,Covert Cloak,Tera Shift,Stellar, Tera Starstorm, Earth Power, Calm Mind, Protect,133,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,133,6,3,North America International
Clefairy ,Eviolite,Friend Guard,Grass, Follow Me, Moonblast, Heal Pulse, Protect,133,6,3,North America International
Tornadus ,Rocky Helmet,Prankster,Ghost, Tailwind, Taunt, Bleakwind Storm, Rain Dance,133,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, Knock Off, Parting Shot, Fake Out, Taunt,133,6,3,North America International
Urshifu ,Focus Sash,Unseen Fist,Dark, Wicked Blow, Close Combat, Sucker Punch, Detect,134,6,3,North America International
Miraidon ,Choice Specs,Hadron Engine,Electric, Electro Drift, Draco Meteor, Discharge, Volt Switch,134,6,3,North America International
Whimsicott ,Covert Cloak,Prankster,Fire, Moonblast, Encore, Light Screen, Tailwind,134,6,3,North America International
Farigiraf ,Electric Seed,Armor Tail,Ground, Psychic Noise, Foul Play, Helping Hand, Trick Room,134,6,3,North America International
Iron Hands ,Assault Vest,Quark Drive,Grass, Drain Punch, Wild Charge, Heavy Slam, Fake Out,134,6,3,North America International
ChiYu ,Choice Scarf,Beads of Ruin,Ground, Heat Wave, Overheat, Dark Pulse, Tera Blast,134,6,3,North America International
Smeargle ,Focus Sash,Moody,Ghost, Fake Out, Spore, Wide Guard, Follow Me,135,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Fire, Grassy Glide, Wood Hammer, Uturn, Fake Out,135,6,3,North America International
Raging Bolt ,Booster Energy,Protosynthesis,Fairy, Dragon Pulse, Thunderclap, Calm Mind, Protect,135,6,3,North America International
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Ghost, Surging Strikes, Close Combat, Aqua Jet, Uturn,135,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, Flare Blitz, WillOWisp, Fake Out, Parting Shot,135,6,3,North America International
CalyrexShadow ,Sitrus Berry,As One (Spectrier),Fairy, Astral Barrage, Psyshock, Nasty Plot, Protect,135,6,3,North America International
Tornadus ,Covert Cloak,Prankster,Steel, Tailwind, Bleakwind Storm, Rain Dance, Taunt,136,6,3,North America International
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Water, Surging Strikes, Close Combat, Detect, Aqua Jet,136,6,3,North America International
Regidrago ,Dragon Fang,Dragon's Maw,Steel, Tera Blast, Dragon Energy, Draco Meteor, Protect,136,6,3,North America International
Zacian ,Rusted Sword,Intrepid Sword,Water, Iron Head, Protect, Sacred Sword, Play Rough,136,6,3,North America International
Clefairy ,Eviolite,Friend Guard,Ground, Follow Me, After You, Protect, Helping Hand,136,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Grass, Fake Out, Grassy Glide, Wood Hammer, Uturn,136,6,3,North America International
CalyrexShadow ,Sitrus Berry,As One (Spectrier),Fairy, Astral Barrage, Protect, Draining Kiss, Nasty Plot,137,6,3,North America International
Tornadus ,Rocky Helmet,Prankster,Dark, Bleakwind Storm, Tailwind, Rain Dance, Protect,137,6,3,North America International
ChiYu ,Covert Cloak,Beads of Ruin,Water, Heat Wave, Overheat, Snarl, Taunt,137,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Fire, Grassy Glide, Fake Out, Wood Hammer, Uturn,137,6,3,North America International
Clefairy ,Eviolite,Friend Guard,Grass, Protect, Follow Me, Life Dew, Helping Hand,137,6,3,North America International
Mienshao ,Focus Sash,Inner Focus,Fighting, Wide Guard, Feint, Fake Out, Close Combat,137,6,3,North America International
ChienPao ,Focus Sash,Sword of Ruin,Stellar, Sacred Sword, Icicle Crash, Protect, Sucker Punch,138,6,3,North America International
Zacian ,Rusted Sword,Intrepid Sword,Fairy, Iron Head, Swords Dance, Protect, Play Rough,138,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Water, Wood Hammer, Fake Out, Grassy Glide, Uturn,138,6,3,North America International
Tornadus ,Covert Cloak,Prankster,Dark, Bleakwind Storm, Rain Dance, Tailwind, Protect,138,6,3,North America International
Ditto ,Choice Scarf,Imposter,Ghost, Transform,,,,138,6,3,North America International
UrshifuRapidStrike ,Mystic Water,Unseen Fist,Grass, Close Combat, Detect, Surging Strikes, Taunt,138,6,3,North America International
OgerponCornerstone ,Cornerstone Mask,Sturdy,Rock, Power Whip, Ivy Cudgel, Follow Me, Spiky Shield,139,6,3,North America International
Raging Bolt ,Assault Vest,Protosynthesis,Electric, Thunderclap, Draco Meteor, Electroweb, Volt Switch,139,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, WillOWisp, Knock Off, Parting Shot, Fake Out,139,6,3,North America International
Gholdengo ,Leftovers,Good as Gold,Normal, Make It Rain, Shadow Ball, Nasty Plot, Protect,139,6,3,North America International
Flutter Mane ,Focus Sash,Protosynthesis,Fairy, Moonblast, Icy Wind, Taunt, Protect,139,6,3,North America International
Koraidon ,Clear Amulet,Orichalcum Pulse,Fire, Collision Course, Flare Blitz, Flame Charge, Protect,139,6,3,North America International
IndeedeeF ,Psychic Seed,Psychic Surge,Ground, Helping Hand, Follow Me, Trick Room, Dazzling Gleam,140,6,3,North America International
Volcarona ,Safety Goggles,Flame Body,Dragon, Fiery Dance, Rage Powder, WillOWisp, Whirlwind,140,6,3,North America International
Koraidon ,Choice Scarf,Orichalcum Pulse,Fire, Flare Blitz, Dragon Claw, Collision Course, Uturn,140,6,3,North America International
UrsalunaBloodmoon ,Life Orb,Mind’s Eye,Normal, Blood Moon, Earth Power, Protect, Hyper Voice,140,6,3,North America International
Iron Crown ,Booster Energy,Quark Drive,Water, Expanding Force, Tachyon Cutter, Calm Mind, Protect,140,6,3,North America International
Raging Bolt ,Assault Vest,Protosynthesis,Electric, Thunderbolt, Thunderclap, Snarl, Draco Meteor,140,6,3,North America International
Latios ,Soul Dew,Levitate,Steel, Luster Purge, Protect, Icy Wind, Draco Meteor,141,6,3,North America International
Rillaboom ,Choice Band,Grassy Surge,Grass, Grassy Glide, Uturn, Wood Hammer, High Horsepower,141,6,3,North America International
Zamazenta ,Rusted Shield,Dauntless Shield,Grass, Protect, Heavy Slam, Wide Guard, Body Press,141,6,3,North America International
ChienPao ,Focus Sash,Sword of Ruin,Ghost, Icicle Crash, Sucker Punch, Protect, Sacred Sword,141,6,3,North America International
Pelipper ,Rocky Helmet,Drizzle,Grass, Protect, Wide Guard, Muddy Water, Hurricane,141,6,3,North America International
MoltresGalar ,Black Glasses,Berserk,Dark, Fiery Wrath, Foul Play, Tailwind, Protect,141,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, Knock Off, WillOWisp, Parting Shot, Fake Out,142,6,3,North America International
UrshifuRapidStrike ,Choice Band,Unseen Fist,Water, Surging Strikes, Close Combat, Aqua Jet, Uturn,142,6,3,North America International
Tornadus ,Covert Cloak,Prankster,Ground, Protect, Bleakwind Storm, Scary Face, Tailwind,142,6,3,North America International
Farigiraf ,Focus Sash,Armor Tail,Fairy, Dazzling Gleam, Foul Play, Helping Hand, Trick Room,142,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Moonblast, Shadow Ball, Dazzling Gleam, Icy Wind,142,6,3,North America International
Kyogre ,Assault Vest,Drizzle,Grass, Origin Pulse, Ice Beam, Water Spout, Thunder,142,6,3,North America International
MoltresGalar ,Black Glasses,Berserk,Dark, Fiery Wrath, Foul Play, Tailwind, Protect,143,6,3,North America International
Zamazenta ,Rusted Shield,Dauntless Shield,Grass, Heavy Slam, Body Press, Iron Defense, Protect,143,6,3,North America International
Grimmsnarl ,Light Clay,Prankster,Ghost, Spirit Break, Light Screen, Reflect, Thunder Wave,143,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Fire, Fake Out, Grassy Glide, Wood Hammer, Uturn,143,6,3,North America International
Pelipper ,Rocky Helmet,Drizzle,Fairy, Hurricane, Weather Ball, Wide Guard, Protect,143,6,3,North America International
Chandelure ,Life Orb,Flash Fire,Grass, Shadow Ball, Heat Wave, Trick Room, Protect,143,6,3,North America International
Kyogre ,Assault Vest,Drizzle,Grass, Water Spout, Origin Pulse, Ice Beam, Thunder,144,6,3,North America International
WoChien ,Leftovers,Tablets of Ruin,Poison, Protect, Ruination, Leech Seed, Pollen Puff,144,6,3,North America International
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Ghost, Uturn, Surging Strikes, Close Combat, Aqua Jet,144,6,3,North America International
Grimmsnarl ,Light Clay,Prankster,Grass, Spirit Break, Reflect, Light Screen, Thunder Wave,144,6,3,North America International
Iron Jugulis ,Booster Energy,Quark Drive,Water, Protect, Snarl, Hurricane, Tailwind,144,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, Knock Off, Parting Shot, Fake Out, WillOWisp,144,6,3,North America International
Farigiraf ,Rocky Helmet,Armor Tail,Fairy, Twin Beam, Foul Play, Helping Hand, Trick Room,145,6,3,North America International
Whimsicott ,Focus Sash,Prankster,Ground, Moonblast, Tailwind, Encore, Protect,145,6,3,North America International
Chesnaught ,Electric Seed,Bulletproof,Ghost, Body Press, Rock Tomb, Feint, Wide Guard,145,6,3,North America International
Iron Hands ,Assault Vest,Quark Drive,Grass, Fake Out, Wild Charge, Drain Punch, Heavy Slam,145,6,3,North America International
ZoroarkHisui ,Choice Scarf,Illusion,Stellar, Icy Wind, Shadow Ball, Hyper Beam, WillOWisp,145,6,3,North America International
Miraidon ,Choice Specs,Hadron Engine,Electric, Electro Drift, Draco Meteor, Discharge, Volt Switch,145,6,3,North America International
Clefairy ,Eviolite,Friend Guard,Grass, After You, Helping Hand, Follow Me, Protect,146,6,3,North America International
CalyrexShadow ,Choice Specs,As One (Spectrier),Ghost, Astral Barrage, Psychic, Pollen Puff, Shadow Ball,146,6,3,North America International
Mienshao ,Focus Sash,Inner Focus,Fighting, Wide Guard, Close Combat, Feint, Fake Out,146,6,3,North America International
Urshifu ,Covert Cloak,Unseen Fist,Dark, Taunt, Wicked Blow, Close Combat, Sucker Punch,146,6,3,North America International
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Moonblast, Taunt, Icy Wind, Protect,146,6,3,North America International
Tornadus ,Mental Herb,Prankster,Ground, Rain Dance, Tailwind, Protect, Bleakwind Storm,146,6,3,North America International
Whimsicott ,Focus Sash,Prankster,Ghost, Protect, Moonblast, Encore, Tailwind,147,6,3,North America International
Gothitelle ,Covert Cloak,Shadow Tag,Dark, Foul Play, Fake Out, Taunt, Hypnosis,147,6,3,North America International
Terapagos ,Choice Specs,Tera Shift,Stellar, Hyper Beam, Earth Power, Tera Starstorm, Dark Pulse,147,6,3,North America International
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Protect, Moonblast, Icy Wind, Thunder Wave,147,6,3,North America International
MausholdFour ,Wide Lens,Technician,Normal, Protect, Population Bomb, Feint, Follow Me,147,6,3,North America International
ChiYu ,Choice Scarf,Beads of Ruin,Ground, Overheat, Dark Pulse, Heat Wave, Tera Blast,147,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Fire, Fake Out, Grassy Glide, Wood Hammer, Uturn,148,6,3,North America International
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Ghost, Uturn, Surging Strikes, Close Combat, Aqua Jet,148,6,3,North America International
Smeargle ,Focus Sash,Moody,Ghost, Spiky Shield, Spore, Wide Guard, Follow Me,148,6,3,North America International
Raging Bolt ,Booster Energy,Protosynthesis,Fairy, Thunderclap, Dragon Pulse, Calm Mind, Protect,148,6,3,North America International
CalyrexShadow ,Sitrus Berry,As One (Spectrier),Fairy, Astral Barrage, Nasty Plot, Psyshock, Protect,148,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, Fake Out, Flare Blitz, Parting Shot, WillOWisp,148,6,3,North America International
Terapagos ,Covert Cloak,Tera Shift,Stellar, Tera Starstorm, Protect, Earth Power, Calm Mind,149,6,3,North America International
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Moonblast, Shadow Ball, Icy Wind, Protect,149,6,3,North America International
ChiYu ,Focus Sash,Beads of Ruin,Ghost, Overheat, Dark Pulse, Heat Wave, Protect,149,6,3,North America International
Iron Hands ,Assault Vest,Quark Drive,Water, Fake Out, Heavy Slam, Wild Charge, Drain Punch,149,6,3,North America International
OgerponCornerstone ,Cornerstone Mask,Sturdy,Rock, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,149,6,3,North America International
Clefairy ,Eviolite,Friend Guard,Fire, Moonblast, Follow Me, Heal Pulse, Protect,149,6,3,North America International
Thundurus ,Rocky Helmet,Prankster,Dark, Thunderbolt, Thunder Wave, Eerie Impulse, Rain Dance,150,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Dragon, Knock Off, Fake Out, Taunt, Parting Shot,150,6,3,North America International
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Water, Surging Strikes, Aqua Jet, Close Combat, Uturn,150,6,3,North America International
Clefairy ,Eviolite,Friend Guard,Grass, Follow Me, After You, Helping Hand, Protect,150,6,3,North America International
CalyrexShadow ,Covert Cloak,As One (Spectrier),Fairy, Astral Barrage, Draining Kiss, Nasty Plot, Protect,150,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Fire, Wood Hammer, Grassy Glide, Fake Out, Uturn,150,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Moonblast, Shadow Ball, Dazzling Gleam, Icy Wind,151,6,3,North America International
Ceruledge ,Clear Amulet,Flash Fire,Bug, Bitter Blade, Bulk Up, Protect, Shadow Sneak,151,6,3,North America International
Terapagos ,Leftovers,Tera Shift,Stellar, Tera Starstorm, Earth Power, Calm Mind, Protect,151,6,3,North America International
Tornadus ,Focus Sash,Prankster,Dark, Bleakwind Storm, Tailwind, Rain Dance, Protect,151,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,151,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, Knock Off, Fake Out, Taunt, Parting Shot,151,6,3,North America International
Iron Hands ,Clear Amulet,Quark Drive,Grass, Drain Punch, Wild Charge, Fake Out, Heavy Slam,152,6,3,North America International
Whimsicott ,Focus Sash,Prankster,Ghost, Moonblast, Tailwind, Protect, Grass Knot,152,6,3,North America International
Miraidon ,Choice Specs,Hadron Engine,Fairy, Volt Switch, Draco Meteor, Dazzling Gleam, Electro Drift,152,6,3,North America International
UrsalunaBloodmoon ,Assault Vest,Mind’s Eye,Normal, Blood Moon, Earth Power, Hyper Voice, Vacuum Wave,152,6,3,North America International
Volcarona ,Rocky Helmet,Flame Body,Water, Flamethrower, Protect, WillOWisp, Rage Powder,152,6,3,North America International
Farigiraf ,Electric Seed,Armor Tail,Water, Psychic, Helping Hand, Trick Room, Ally Switch,152,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, Knock Off, Fake Out, Parting Shot, WillOWisp,153,6,3,North America International
Farigiraf ,Throat Spray,Armor Tail,Fairy, Hyper Voice, Twin Beam, Trick Room, Protect,153,6,3,North America International
Kyogre ,Assault Vest,Drizzle,Grass, Origin Pulse, Water Spout, Ice Beam, Thunder,153,6,3,North America International
Tornadus ,Covert Cloak,Prankster,Dark, Bleakwind Storm, Rain Dance, Tailwind, Taunt,153,6,3,North America International
Zapdos ,Rocky Helmet,Static,Water, Hurricane, Thunderbolt, Roost, Eerie Impulse,153,6,3,North America International
WoChien ,Sitrus Berry,Tablets of Ruin,Water, Protect, Snarl, Foul Play, Pollen Puff,153,6,3,North America International
Calyrex ,Spooky Plate,As One,Fairy, Astral Barrage, Draining Kiss, Nasty Plot, Protect,154,6,3,North America International
Clefairy ,Eviolite,Friend Guard,Grass, Follow Me, Helping Hand, Protect, Heal Pulse,154,6,3,North America International
Tornadus ,Covert Cloak,Prankster,Dark, Bleakwind Storm, Tailwind, Rain Dance, Taunt,154,6,3,North America International
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Stellar, Surging Strikes, Close Combat, Detect, Aqua Jet,154,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Normal, Wood Hammer, Grassy Glide, Uturn, Fake Out,154,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, Fake Out, Taunt, Knock Off, Parting Shot,154,6,3,North America International
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Water, Surging Strikes, Close Combat, Aqua Jet, Detect,155,6,3,North America International
OgerponHearthflame ,Hearthflame Mask,Mold Breaker,Fire, Ivy Cudgel, Wood Hammer, Follow Me, Spiky Shield,155,6,3,North America International
Iron Hands ,Assault Vest,Quark Drive,Water, Wild Charge, Drain Punch, Heavy Slam, Fake Out,155,6,3,North America International
Amoonguss ,Rocky Helmet,Regenerator,Water, Pollen Puff, Rage Powder, Spore, Protect,155,6,3,North America International
Terapagos ,Power Herb,Tera Shift,Stellar, Tera Starstorm, Meteor Beam, Rock Polish, Protect,155,6,3,North America International
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Moonblast, Shadow Ball, Icy Wind, Protect,155,6,3,North America International
Miraidon ,Choice Specs,Hadron Engine,Electric, Discharge, Volt Switch, Electro Drift, Draco Meteor,156,6,3,North America International
Landorus ,Life Orb,Sheer Force,Poison, Earth Power, Sludge Bomb, Taunt, Protect,156,6,3,North America International
Urshifu ,Focus Sash,Unseen Fist,Dark, Wicked Blow, Close Combat, Sucker Punch, Detect,156,6,3,North America International
Whimsicott ,Covert Cloak,Prankster,Fire, Moonblast, Tailwind, Encore, Light Screen,156,6,3,North America International
Iron Hands ,Assault Vest,Quark Drive,Water, Fake Out, Wild Charge, Drain Punch, Heavy Slam,156,6,3,North America International
Farigiraf ,Electric Seed,Armor Tail,Ground, Psychic Noise, Foul Play, Trick Room, Helping Hand,156,6,3,North America International
Landorus ,Life Orb,Sheer Force,Poison, Earth Power, Sludge Bomb, Protect, Sandsear Storm,157,6,3,North America International
CalyrexIce ,Clear Amulet,As One (Glastrier),Fire, Glacial Lance, High Horsepower, Protect, Trick Room,157,6,3,North America International
OgerponCornerstone ,Cornerstone Mask,Sturdy,Rock, Ivy Cudgel, Power Whip, Spiky Shield, Follow Me,157,6,3,North America International
Regieleki ,Focus Sash,Transistor,Electric, Thunderbolt, Electroweb, Protect, Volt Switch,157,6,3,North America International
UrshifuRapidStrike ,Assault Vest,Unseen Fist,Water, Surging Strikes, Close Combat, Uturn, Aqua Jet,157,6,3,North America International
Farigiraf ,Safety Goggles,Armor Tail,Water, Psychic Noise, Foul Play, Helping Hand, Trick Room,157,6,3,North America International
Raging Bolt ,Assault Vest,Protosynthesis,Fairy, Thunderclap, Draco Meteor, Weather Ball, Thunderbolt,158,6,3,North America International
Koraidon ,Clear Amulet,Orichalcum Pulse,Fire, Flare Blitz, Collision Course, Protect, Flame Charge,158,6,3,North America International
ChienPao ,Focus Sash,Sword of Ruin,Ghost, Ice Spinner, Sucker Punch, Sacred Sword, Protect,158,6,3,North America International
Amoonguss ,Mental Herb,Regenerator,Fairy, Sludge Bomb, Pollen Puff, Rage Powder, Spore,158,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, Knock Off, WillOWisp, Fake Out, Parting Shot,158,6,3,North America International
Farigiraf ,Sitrus Berry,Armor Tail,Dark, Twin Beam, Foul Play, Helping Hand, Trick Room,158,6,3,North America International
Urshifu ,Focus Sash,Unseen Fist,Dark, Wicked Blow, Close Combat, Sucker Punch, Detect,159,6,3,North America International
Ditto ,Choice Scarf,Imposter,Ghost, Transform,,,,159,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Water, Fake Out, Knock Off, Taunt, Parting Shot,159,6,3,North America International
CalyrexIce ,Clear Amulet,As One (Glastrier),Fire, Glacial Lance, High Horsepower, Trick Room, Protect,159,6,3,North America International
Amoonguss ,Covert Cloak,Regenerator,Fairy, Pollen Puff, Spore, Rage Powder, Protect,159,6,3,North America International
Iron Hands ,Assault Vest,Quark Drive,Grass, Fake Out, Drain Punch, Wild Charge, Volt Switch,159,6,3,North America International
Groudon ,Clear Amulet,Drought,Fire, Precipice Blades, Heat Crash, Protect, Swords Dance,160,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Grass, Flare Blitz, Knock Off, Fake Out, Parting Shot,160,6,3,North America International
Walking Wake ,Life Orb,Protosynthesis,Fire, Hydro Steam, Draco Meteor, Protect, Flamethrower,160,6,3,North America International
Tornadus ,Covert Cloak,Prankster,Dark, Bleakwind Storm, Tailwind, Protect, Sunny Day,160,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Moonblast, Shadow Ball, Thunderbolt, Dazzling Gleam,160,6,3,North America International
LilligantHisui ,Focus Sash,Chlorophyll,Ghost, Solar Blade, Close Combat, Coaching, Sleep Powder,160,6,3,North America International
Urshifu ,Focus Sash,Unseen Fist,Dark, Wicked Blow, Sucker Punch, Close Combat, Protect,161,6,3,North America International
Gholdengo ,Leftovers,Good as Gold,Normal, Make It Rain, Shadow Ball, Nasty Plot, Protect,161,6,3,North America International
Kyogre ,Assault Vest,Drizzle,Grass, Water Spout, Origin Pulse, Ice Beam, Thunder,161,6,3,North America International
Tsareena ,Wide Lens,Queenly Majesty,Water, Power Whip, Triple Axel, Helping Hand, Protect,161,6,3,North America International
Landorus ,Life Orb,Sheer Force,Fairy, Sandsear Storm, Earth Power, Sludge Bomb, Protect,161,6,3,North America International
Tornadus ,Covert Cloak,Prankster,Dark, Tailwind, Bleakwind Storm, Rain Dance, Taunt,161,6,3,North America International
Volcarona ,Rocky Helmet,Flame Body,Grass, Overheat, Rage Powder, Struggle Bug, Protect,162,6,3,North America International
Terapagos ,Covert Cloak,Tera Shift,Stellar, Tera Starstorm, Earth Power, Calm Mind, Protect,162,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Water, Wood Hammer, Grassy Glide, Uturn, Fake Out,162,6,3,North America International
Tornadus ,Sitrus Berry,Prankster,Dark, Bleakwind Storm, Tailwind, Taunt, Protect,162,6,3,North America International
Clefairy ,Eviolite,Friend Guard,Grass, Moonblast, Life Dew, Follow Me, Protect,162,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, Knock Off, Fake Out, Taunt, Parting Shot,162,6,3,North America International
Raging Bolt ,Assault Vest,Protosynthesis,Fairy, Thunderclap, Dragon Pulse, Volt Switch, Electroweb,163,6,3,North America International
Gholdengo ,Choice Specs,Good as Gold,Steel, Trick, Shadow Ball, Steel Beam, Make It Rain,163,6,3,North America International
ChienPao ,Focus Sash,Sword of Ruin,Ghost, Protect, Icicle Crash, Crunch, Sucker Punch,163,6,3,North America International
Tornadus ,Covert Cloak,Prankster,Dark, Tailwind, Rain Dance, Bleakwind Storm, Taunt,163,6,3,North America International
Zamazenta ,Rusted Shield,Dauntless Shield,Grass, Wide Guard, Body Press, Heavy Slam, Protect,163,6,3,North America International
OgerponCornerstone ,Cornerstone Mask,Sturdy,Rock, Spiky Shield, Follow Me, Power Whip, Ivy Cudgel,163,6,3,North America International
Mimikyu ,Mental Herb,Disguise,Grass, Taunt, Curse, Shadow Sneak, Trick Room,164,6,3,North America International
Incineroar ,Assault Vest,Intimidate,Ghost, Fake Out, Flare Blitz, Knock Off, Uturn,164,6,3,North America International
Regieleki ,Covert Cloak,Transistor,Grass, Protect, Thunderbolt, Volt Switch, Electroweb,164,6,3,North America International
Landorus ,Life Orb,Sheer Force,Ghost, Protect, Substitute, Earth Power, Sludge Bomb,164,6,3,North America International
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Spiky Shield, Ivy Cudgel, Follow Me, Wood Hammer,164,6,3,North America International
CalyrexIce ,Clear Amulet,As One (Glastrier),Water, Protect, Glacial Lance, High Horsepower, Trick Room,164,6,3,North America International
Rillaboom ,Assault Vest,Grassy Surge,Grass, Grassy Glide, Wood Hammer, Fake Out, Uturn,165,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, Fake Out, Parting Shot, WillOWisp, Knock Off,165,6,3,North America International
Thundurus ,Covert Cloak,Prankster,Dark, Thunderbolt, Thunder Wave, Eerie Impulse, Taunt,165,6,3,North America International
CalyrexShadow ,Sitrus Berry,As One (Spectrier),Fairy, Astral Barrage, Draining Kiss, Protect, Nasty Plot,165,6,3,North America International
Clefairy ,Eviolite,Friend Guard,Grass, Helping Hand, Follow Me, Sing, Protect,165,6,3,North America International
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Stellar, Surging Strikes, Close Combat, Aqua Jet, Detect,165,6,3,North America International
Ursaluna ,Flame Orb,Guts,Ghost, Facade, Earthquake, Protect, Swords Dance,166,6,3,North America International
Incineroar ,Safety Goggles,Intimidate,Ghost, Knock Off, Fake Out, Taunt, Parting Shot,166,6,3,North America International
Lunala ,Power Herb,Shadow Shield,Fairy, Moongeist Beam, Meteor Beam, Trick Room, Wide Guard,166,6,3,North America International
ZapdosGalar ,Choice Scarf,Defiant,Flying, Brave Bird, Uturn, Close Combat, Knock Off,166,6,3,North America International
Raging Bolt ,Assault Vest,Protosynthesis,Electric, Thunderclap, Thunderbolt, Volt Switch, Draco Meteor,166,6,3,North America International
Amoonguss ,Rocky Helmet,Regenerator,Dark, Spore, Pollen Puff, Rage Powder, Protect,166,6,3,North America International
Koraidon ,Clear Amulet,Orichalcum Pulse,Fire, Collision Course, Flare Blitz, Flame Charge, Protect,167,6,3,North America International
Landorus ,Life Orb,Sheer Force,Water, Earth Power, Sludge Bomb, Sandsear Storm, Protect,167,6,3,North America International
Umbreon ,Safety Goggles,Inner Focus,Poison, Foul Play, Yawn, Taunt, Helping Hand,167,6,3,North America International
Flutter Mane ,Choice Specs,Protosynthesis,Fairy, Moonblast, Dazzling Gleam, Shadow Ball, Icy Wind,167,6,3,North America International
Whimsicott ,Covert Cloak,Prankster,Ground, Moonblast, Tailwind, Sunny Day, Encore,167,6,3,North America International
OgerponCornerstone ,Cornerstone Mask,Sturdy,Rock, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,167,6,3,North America International
ChienPao ,Life Orb,Sword of Ruin,Stellar, Protect, Sucker Punch, Ice Shard, Throat Chop,168,6,3,North America International
Tornadus ,Focus Sash,Prankster,Ghost, Protect, Tailwind, Snowscape, Bleakwind Storm,168,6,3,North America International
UrshifuRapidStrike ,Mystic Water,Unseen Fist,Steel, Detect, Aqua Jet, Surging Strikes, Close Combat,168,6,3,North America International
Kyogre ,Covert Cloak,Drizzle,Ice, Water Spout, Blizzard, Thunder, Hydro Pump,168,6,3,North America International
Rillaboom ,Miracle Seed,Grassy Surge,Normal, Protect, Grassy Glide, Wood Hammer, Swords Dance,168,6,3,North America International
Entei ,Assault Vest,Inner Focus,Grass, Sacred Fire, Extreme Speed, Stomping Tantrum, Trailblaze,168,6,3,North America International
Talonflame ,Covert Cloak,Gale Wings,Flying, Brave Bird, Tailwind, Taunt, Protect,169,6,3,North America International
Terapagos ,Choice Specs,Tera Shift,Stellar, Tera Starstorm, Earth Power, Dark Pulse, Hyper Beam,169,6,3,North America International
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Moonblast, Shadow Ball, Icy Wind, Protect,169,6,3,North America International
Amoonguss ,Rocky Helmet,Regenerator,Dark, Pollen Puff, Spore, Rage Powder, Protect,169,6,3,North America International
